Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team
Gottlieb-Cruickshank  ,"Zieme, Doyle and Kunze ",Lublin,Poland,51.2333,22.5667,Hospital,Private,Topipizole,Mood Stabilizers,4,368,1472,January,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Feest PLC ,??wiecie,Poland,53.4167,18.4333,Pharmacy,Retail,Choriotrisin,Antibiotics,7,591,4137,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Medhurst-Beer Pharmaceutical Limited,Rybnik,Poland,50.0833,18.5,Pharmacy,Institution,Acantaine,Antibiotics,30,66,1980,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Barton Ltd Pharma Plc,Czelad??,Poland,50.3333,19.0833,Hospital,Private,Lioletine Refliruvax,Analgesics,6,435,2610,January,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Keeling LLC Pharmacy,Olsztyn,Poland,53.78,20.4942,Pharmacy,Retail,Oxymotroban Fexoformin,Analgesics,20,458,9160,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Runte-Marquardt Pharmaceutical Ltd,Olecko,Poland,54.0333,22.5,Hospital,Private,Pazofenac,Mood Stabilizers,5,123,615,January,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Blick, Pacocha and Schowalter ",Inowroc??aw,Poland,52.7958,18.2611,Pharmacy,Retail,Symbitrim,Analgesics,20,536,10720,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Leuschke PLC Pharmacy,Ciechan??w,Poland,52.8817,20.6106,Pharmacy,Retail,Morphizolid Tianalin,Mood Stabilizers,5,742,3710,January,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Miller-Satterfield Pharma Plc,Nidzica,Poland,53.3583,20.425,Hospital,Private,Lovapur,Mood Stabilizers,4,551,2204,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Bashirian-Kassulke Pharma Plc,Krak??w,Poland,50.0614,19.9372,Hospital,Private,Ampysin,Analgesics,10,243,2430,January,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Wolff Group Pharm,Gubin,Poland,51.95,14.7333,Hospital,Government,Trazobalamin,Mood Stabilizers,35,762,26670,January,2018,Erica Jones,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Denesik, Walter and Beatty Pharma Plc",Ostr??w Mazowiecka,Poland,52.8,21.9,Pharmacy,Institution,Atrabicin Alkerotec,Antiseptics,4,249,996,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Breitenberg-Kuhn Pharmacy,Radom,Poland,51.4036,21.1567,Hospital,Private,Exotropin Empizine,Mood Stabilizers,5,785,3925,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"McClure, Zemlak and Dibbert Pharma Plc",Gda??sk,Poland,54.3667,18.6333,Pharmacy,Retail,Afinitasol,Antipiretics,6,286,1716,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Block-Romaguera Pharmaceutical Limited,Tarnowskie G??ry,Poland,50.45,18.8667,Hospital,Private,Amavirase,Antipiretics,7,487,3409,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Hahn, Rutherford and Gislason Pharmaceutical Limited",??aziska G??rne,Poland,50.15,18.8333,Hospital,Private,Neuropogen Empibax,Analgesics,5,605,3025,January,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,D'Amore and Sons ,W??growiec,Poland,52.8,17.2,Hospital,Private,Tracdomide,Antipiretics,5,548,2740,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Koss Ltd Pharmaceutical Limited,Lw??wek ??l??ski,Poland,51.1167,15.5833,Hospital,Private,Novakyn Tracprox,Antiseptics,30,288,8640,January,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Fadel-West ,Z??otoryja,Poland,51.1264,15.9198,Pharmacy,Institution,Paronium Atracustone,Analgesics,2,414,828,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Lindgren-Simonis Pharm,Biskupiec,Poland,53.8647,20.9569,Pharmacy,Retail,Dantocept Ferurenone,Antiseptics,2,307,614,January,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Spinka, Schowalter and Conn Pharmaceutical Limited",Bi??goraj,Poland,50.55,22.7333,Pharmacy,Institution,Aciprex,Antipiretics,5,421,2105,January,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Will and Sons Pharma Plc,Gniew,Poland,53.8333,18.8333,Pharmacy,Retail,Diaxolol,Antiseptics,20,765,15300,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Jakubowski Inc Pharmaceutical Limited,Boles??awiec,Poland,51.2667,15.5667,Pharmacy,Retail,Saprodeine Zanprosyn,Antibiotics,5,215,1075,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Schaden-Hirthe Pharmaceutical Ltd,??widnica,Poland,50.8438,16.4886,Pharmacy,Institution,Magnemunex,Antiseptics,26,689,17914,January,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Mraz Group Pharmacy,Piast??w,Poland,52.1833,20.85,Hospital,Private,Pazofenac,Mood Stabilizers,16,123,1968,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Nader-Gaylord Pharmaceutical Ltd,????d??,Poland,51.7769,19.4547,Pharmacy,Retail,Pitodomide,Antimalarial,35,24,840,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Heidenreich Group Pharmaceutical Ltd,Rzesz??w,Poland,50.05,22,Pharmacy,Institution,Malaxolol Aeroprosyn,Antiseptics,2,502,1004,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Mante-Grady Pharm,Lubacz??w,Poland,50.1556,23.123,Pharmacy,Institution,Tetratanyl,Antimalarial,3,511,1533,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Feest-Kshlerin Pharmaceutical Ltd,??widnik,Poland,51.2333,22.7,Pharmacy,Institution,Spiroderall,Mood Stabilizers,50,653,32650,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Wolff Group Pharm,Gubin,Poland,51.95,14.7333,Hospital,Government,Formolovir Amanferon,Analgesics,6,191,1146,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Leuschke, Waters and Schowalter Pharmaceutical Ltd",Krapkowice,Poland,50.4751,17.9654,Pharmacy,Institution,Panpion,Antiseptics,4,692,2768,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Hirthe, Williamson and Macejkovic Pharma Plc",Brzeg,Poland,50.8667,17.4833,Hospital,Government,Dorzovorin Pentadarone,Antimalarial,6,164,984,January,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Emard-O'Connell Pharmacy,Zakopane,Poland,49.2994,19.9519,Pharmacy,Retail,Lovapur,Mood Stabilizers,60,551,33060,January,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Feest PLC ,??wiecie,Poland,53.4167,18.4333,Pharmacy,Retail,Formolovir Amanferon,Analgesics,38,191,7258,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Carter-Conn Pharma Plc,Brwin??w,Poland,52.1417,20.7167,Hospital,Private,Comzyme,Antibiotics,5,114,570,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Heathcote, Grant and Witting Pharm",Bielsko-Bia??a,Poland,49.8225,19.0444,Pharmacy,Institution,Aldevac,Analgesics,5,26,130,January,2018,Erica Jones,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Boyer and Sons Pharmaceutical Limited,Wa??cz,Poland,53.2667,16.4667,Hospital,Government,Invisteride Diclomycin,Mood Stabilizers,30,452,13560,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Rowe PLC Pharmaceutical Ltd,K??ty,Poland,49.8821,19.2233,Pharmacy,Institution,Ergomethate,Mood Stabilizers,1,604,604,January,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,McCullough LLC Pharma Plc,Cz??stochowa,Poland,50.8,19.1167,Pharmacy,Retail,Theopril,Antipiretics,2,768,1536,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Grimes, Jacobs and Durgan Pharm",Be??chat??w,Poland,51.3667,19.3667,Hospital,Private,Choriotrisin,Antibiotics,4,591,2364,January,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Balistreri, Torp and Gulgowski Pharmacy",Che??m??a,Poland,53.2,18.6,Hospital,Private,Ketastadil,Analgesics,2,763,1526,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Will and Sons Pharmaceutical Limited,Pozna??,Poland,52.4,16.9167,Hospital,Government,Methiclotide,Antibiotics,2,458,916,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Osinski-Collins Pharmaceutical Ltd,Elbl??g,Poland,54.1667,19.4,Pharmacy,Institution,Topipizole,Mood Stabilizers,2,368,736,January,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Parisian, Hagenes and Skiles Pharma Plc",Ciechocinek,Poland,52.8833,18.7833,Pharmacy,Retail,Propratecan,Antimalarial,3,682,2046,January,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Medhurst-Beer Pharmaceutical Limited,Rybnik,Poland,50.0833,18.5,Pharmacy,Institution,Lovavatol Azelavarix,Mood Stabilizers,2,106,212,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Runte-Marquardt Pharmaceutical Ltd,Olecko,Poland,54.0333,22.5,Hospital,Private,Symbiroban,Antibiotics,1,122,122,January,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Schmitt, Berge and Haley Pharma Plc",K??odzko,Poland,50.4378,16.6528,Hospital,Private,Afaxacin,Analgesics,4,60,240,January,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Funk, Ratke and Heaney Pharmacy",Prabuty,Poland,53.7558,19.1975,Hospital,Government,Testant,Mood Stabilizers,2,488,976,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Walsh-Brown Pharmacy,Chorz??w,Poland,50.3,18.95,Pharmacy,Retail,Temasone Thiobucil,Antimalarial,8,482,3856,January,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",Grudzi??dz,Poland,53.4925,18.7761,Pharmacy,Retail,Propralamide Dexlanzolam,Mood Stabilizers,6,391,2346,January,2018,Alan Ray,James Goodwill,Alfa
