RecordID,SnapshotDate,ProductName,ProductClass,ManufacturingSite,BatchNumber,ExpiryDate,StorageCondition,WarehouseCountry,QuantityOnHand,ReorderLevel,StockoutFlag
INV000001,2018-12-24,Secrelazine Insonamic,Antipiretics,Munich Plant,B1812-5252,2020-01-15,controlled substance,Germany,6731,283,FALSE
INV000002,2020-02-12,Dexmebital Acanplan,Analgesics,Poznan Site,B2002-0108,2021-02-03, Frozen  ,Poland,7258,171,No
INV000003,2019-06-02,Topifribrate,Analgesics,munich plant,B1906-5839,2020-05-03, controlled substance  ,Germany,2677,318,FALSE
INV000004,2018-06-07,Belavarix Benzabicin,Antibiotics,frankfurt plant,B1806-1799,2020-10-24,frozen,Germany,9662,232,No
INV000005,2017-12-15, Propratecan  ,Antimalarial, Krakow Facility  ,B1712-7938,2018-03-15,Refrigerated,Poland,7112,69,No
INV000006,2019-03-01, Abranatal Lysoprosate  ,Antiseptics,munich plant,B1903-2109,2021-07-23,room temperature,Germany,1135,129,No
INV000007,2017-06-14, Pazofenac  ,Mood Stabilizers,krakow facility,B1706-3453,2018-12-14,Frozen,Poland,2657,272,No
INV000008,2018-04-15,Dantocept Ferurenone,Antiseptics,Warsaw Plant,B1804-1738,2019-01-21,REFRIGERATED,Poland,3503,368,No
INV000009,2018-04-14,Clindaracil,Analgesics,Poznan Site,B1804-4166,2019-06-14,Frozen,Poland,9938,174,FALSE
INV000010,2018-10-24,Fentalac,Antipiretics,Warsaw Plant,B1810-7569,2020-04-27,frozen,Poland,3467,255,No
INV000011,2020-10-11,Sucprine Specbalamin,Antiseptics,Munich Plant,B2010-3307,2021-05-13, room temperature  ,Germany,7077,294,No
INV000012,2018-01-20,Claripenem,Antibiotics,Warsaw Plant,B1801-9261,2018-11-25,refrigerated,Poland,8847,246,No
INV000013,2019-11-23,Secrelazine Insonamic,Antipiretics,Munich Plant,B1911-5318,2020-10-02,Frozen,Germany,2138,210,No
INV000014,2017-12-30,Benzoprox,Antiseptics,Krakow Facility,B1712-4639,2020-04-21,REFRIGERATED,Poland,3425,342,FALSE
INV000015,2019-10-09,Lovavatol Azelavarix,Mood Stabilizers,frankfurt plant,B1910-4919,2022-07-09,ROOM TEMPERATURE,Germany,6867,200,No
INV000016,2018-01-02,Ganineva Agenium,Antiseptics,FRANKFURT PLANT,B1801-2079,2019-07-15,controlled substance,Germany,1163,199,FALSE
INV000017,2020-08-13,Lansopril Acribax,Antipiretics, Poznan Site  ,B2008-8097,2020-11-28,refrigerated,Poland,8226,246,No
INV000018,2017-02-28,Dexacilin Triline,Analgesics,Munich Plant,B1702-5905,2018-07-06,Refrigerated,Germany,4291,142,FALSE
INV000019,2019-04-28,Travoloride,Antiseptics,MUNICH PLANT,B1904-1001,2020-04-20,controlled substance,Germany,9762,359,No
INV000020,2018-01-11, Amamadin  ,Antimalarial,Munich Plant,B1801-6934,2019-11-29,ROOM TEMPERATURE,Germany,4899,56,0
INV000021,2017-12-05,Cogxone Levanide,Antimalarial,POZNAN SITE,B1712-4691,2019-07-09, Frozen  ,Poland,3775,238,FALSE
INV000022,2019-10-19, Diaxolol  ,Antiseptics,KRAKOW FACILITY,B1910-7513,2022-01-20,controlled substance,Poland,5533,102,0
INV000023,2018-07-27,Relenstrel Exurabine,Antibiotics,Warsaw Plant,B1807-4097,2020-12-02,CONTROLLED SUBSTANCE,Poland,7062,151,No
INV000024,2019-02-07,Nevanide Actozide,Antibiotics,krakow facility,B1902-2890,2021-04-27,ROOM TEMPERATURE,Poland,6574,322,No
INV000025,2017-06-19,Secrelazine Insonamic,Antipiretics,MUNICH PLANT,B1706-6118,2020-03-24,controlled substance,Germany,8514,57,No
INV000026,2019-11-04,Aggretisol,Antimalarial,krakow facility,B1911-2296,2021-06-15,room temperature,Poland,2133,51,0
INV000027,2019-12-24,Choriotrisin,Antibiotics,WARSAW PLANT,B1912-6616,2022-02-27,Frozen,Poland,4515,158,No
INV000028,2019-01-21,Megenorphine,Antimalarial,Frankfurt Plant,B1901-6047,2020-06-30,ROOM TEMPERATURE,Germany,9343,232,FALSE
INV000029,2018-05-02,Topipizole,Mood Stabilizers,WARSAW PLANT,B1805-5973,2020-07-26,ROOM TEMPERATURE,Poland,1427,382,No
INV000030,2020-07-23,Cogxone Levanide,Antimalarial,poznan site,B2007-8348,2022-07-10,room temperature,Poland,6003,211,No
INV000031,2019-04-28,Pulmofine,Antibiotics,WARSAW PLANT,B1904-0258,2021-10-31,room temperature,Poland,3659,161,No
INV000032,2020-11-23,Tesnorphine Silotamine,Antibiotics, Munich Plant  ,B2011-4260,2022-10-19,Refrigerated,Germany,7898,227,FALSE
INV000033,2018-11-28, Ciclonazol  ,Antiseptics,KRAKOW FACILITY,B1811-5139,2021-06-19,frozen,Poland,4652,205,No
INV000034,2018-07-04,Adriafinil Ehtymara,Antiseptics,Frankfurt Plant,B1807-6333,2020-10-14,CONTROLLED SUBSTANCE,Germany,4423,109,No
INV000035,2019-06-08, Aciprex  ,Antipiretics,poznan site,B1906-0651,2021-04-14,ROOM TEMPERATURE,Poland,7626,225,No
INV000036,2018-03-23,Propralamide Dexlanzolam,Mood Stabilizers,Krakow Facility,B1803-6629,2021-03-18,CONTROLLED SUBSTANCE,Poland,3823,139,No
INV000037,2019-01-17,Victomax,Analgesics,Frankfurt Plant,B1901-5318,2020-01-10,room temperature,Germany,4013,198,FALSE
INV000038,2020-01-15,Magnemunex,Antiseptics,MUNICH PLANT,B2001-2043,2022-01-14,Refrigerated,Germany,2652,149,FALSE
INV000039,2018-06-12,Decidenu Galantrigine,Antipiretics,munich plant,B1806-7672,2021-04-05,FROZEN,Germany,242,60,Yes
INV000040,2020-02-10,Penitrana,Analgesics,frankfurt plant,B2002-3483,2022-01-26,Frozen,Germany,771,116,No
INV000041,2020-07-04, Amlominphen Dexanovate  ,Analgesics,warsaw plant,B2007-7201,2023-05-19,room temperature,Poland,9001,182,No
INV000042,2017-12-18, Ionclotide  ,Analgesics, KRAKOW FACILITY  ,B1712-1785,2019-12-13,Refrigerated,Poland,4501,83,No
INV000043,2019-10-19,Adideine,Mood Stabilizers, Krakow Facility  ,B1910-8585,2020-12-10,Frozen,Poland,4897,192,No
INV000044,2017-06-12,Ketamara Evogel,Antipiretics,Poznan Site,B1706-3498,2020-02-04,room temperature,Poland,6233,165,FALSE
INV000045,2020-04-06,Aprerase,Antipiretics,frankfurt plant,B2004-2164,2021-06-16, controlled substance  ,Germany,5174,280,No
INV000046,2018-05-16,Zithrotrol,Antiseptics,krakow facility,B1805-7131,2019-09-22,room temperature,Poland,7941,287,Yes
INV000047,2019-03-29, Hepavice  ,Mood Stabilizers,WARSAW PLANT,B1903-9118,2021-05-30,refrigerated,Poland,8432,338,No
INV000048,2018-10-18,Antilamin Clinbital,Antibiotics, frankfurt plant  ,B1810-2081,2020-06-25,controlled substance,Germany,892,226,FALSE
INV000049,2019-09-08,Abranatal Lysoprosate,Antiseptics, Munich Plant  ,B1909-5086,2021-04-27,Frozen,Germany,997,199,No
INV000050,2017-01-21,Flutacerol,Analgesics,Frankfurt Plant,B1701-8694,2019-03-02, controlled substance  ,Germany,4664,253,No
