ShipmentID,OrderDate,ProductName,ProductClass,ManufacturingSite,DistributorName,Country,QuantityShipped,ShipmentMode,ScheduledDeliveryDate,ActualDeliveryDate,FreightCostUSD,WeightKg,ShipmentStatus
SHP000001,2018-05-20,Abtasol,Antiseptics, Munich Plant  ,Rohan,Poland,362,Air Charter,2018-05-27,2018-05-26,4573.56,556.8,Delivered
SHP000002,2020-11-08,Ranediol,Antibiotics,WARSAW PLANT,Prohaska-Kuhic,Poland,98,Ocean,2020-11-15,2020-11-13,2374.98,795.7,Delivered
SHP000003,2020-12-14,Cordamectin Actolamin,Antipiretics,WARSAW PLANT, Crist Inc  ,Germany,181,Truck,2020-12-21,2020-12-20,4659.95,253.9,Delivered
SHP000004,2017-08-31,Rebedase Aplencor,Mood Stabilizers, Munich Plant  ,Cassin,Poland,38,Air,2017-09-07,2017-09-07,2830.08,452.8,DELIVERED
SHP000005,2020-10-22,Dexacilin Triline,Analgesics,MUNICH PLANT,Daugherty-Rempel,Germany,40,Ocean,2020-10-29,2020-10-27,4934.81,733.4,delivered
SHP000006,2017-05-31,Amcibax Amcikeran,Analgesics,FRANKFURT PLANT,Lesch,Germany,334,Truck,2017-06-07,2017-06-06,1430.56,599.0,Delivered
SHP000007,2018-11-09,Presetron,Mood Stabilizers,Frankfurt Plant,Nader-Gaylord,Germany,179,Truck,2018-11-16,2018-11-16,1972.26,853.9,Delivered
SHP000008,2017-11-24, Comzyme  ,Antibiotics, Warsaw Plant  ,Daugherty-Rempel,Germany,543,Air,2017-12-01,2017-12-01,4929.37,356.0,Delivered
SHP000009,2017-09-22, Imiderm Vibranovate  ,Antipiretics,Frankfurt Plant,Rohan and Sons,Germany,117,Air Charter,2017-09-29,2017-09-29,627.52,286.7,Delivered
SHP000010,2019-03-17, Pentastrin  ,Antibiotics, Frankfurt Plant  ,Kris LLC,Poland,253,,2019-03-24,2019-03-22,772.9,570.4,delivered
SHP000011,2018-02-20,Sumanazole,Analgesics,Munich Plant,Smith Inc,Poland,211,Air,2018-02-27,2018-02-25,843.47,713.6,Shipped
SHP000012,2019-10-11,Relenstrel Exurabine,Antibiotics,Warsaw Plant,Hansen Group Pharm,Germany,40,Air Charter,2019-10-18,2019-10-16,2877.18,381.7,In Transit
